t,V_a,V_b,m,h,n,I_Na,I_K,I_L,I_syn_b,g_syn
1.53,-45.26726337,-64.99524868,0.2045315694,0.5356532837,0.3531908815,-52.39498977,17.77656964,2.73592099,0,0
1.54,-44.84843838,-64.99522653,0.2080424523,0.5343153463,0.3538774316,-54.76019325,18.15164706,2.861568487,0,0
1.55,-44.4109686,-64.9952045,0.2116921203,0.5329320769,0.3545829464,-57.27823654,18.54578973,2.99280942,0,0
1.56,-43.95357223,-64.99518257,0.2154892266,0.5315006905,0.355308473,-59.96185553,18.96047783,3.130028332,0,0
1.57,-43.47485873,-64.99516076,0.2194430992,0.5300181861,0.3560551411,-62.82501768,19.39733924,3.273642381,0,0
1.58,-42.97331837,-64.99513906,0.2235638001,0.5284813322,0.3568241712,-65.88304725,19.85816713,3.424104489,0,0
1.59,-42.44731061,-64.99511747,0.2278621906,0.5268866523,0.3576168833,-69.15276175,20.34493995,3.581906816,0,0
1.6,-41.89505146,-64.99509599,0.232350002,0.5252304113,0.3584347062,-72.65261945,20.85984417,3.747584561,0,0
1.61,-41.31459956,-64.99507462,0.2370399114,0.5235086041,0.3592791888,-76.40287787,21.40530012,3.921720133,0,0
1.62,-40.70384098,-64.99505336,0.2419456244,0.521716947,0.3601520111,-80.42576215,21.98399145,4.104947706,0,0
1.63,-40.06047275,-64.99503221,0.2470819624,0.5198508739,0.3610549974,-84.74564174,22.59889871,4.297958175,0,0
1.64,-39.3819849,-64.99501118,0.2524649567,0.5179055385,0.3619901306,-89.38921226,23.25333762,4.501504529,0,0
1.65,-38.6656412,-64.99499025,0.2581119465,0.5158758263,0.3629595679,-94.38567815,23.95100277,4.716407639,0,0
1.66,-37.90845852,-64.99496944,0.264041681,0.5137563779,0.363965657,-99.76692901,24.69601743,4.943562443,0,0
1.67,-37.10718503,-64.99494873,0.2702744241,0.5115416293,0.3650109557,-105.5676999,25.49299043,5.18394449,0,0
1.68,-36.25827738,-64.99492814,0.2768320579,0.5092258715,0.3660982511,-111.8257014,26.34708091,5.438616785,0,0
1.69,-35.35787735,-64.99490765,0.2837381834,0.5068033359,0.3672305814,-118.5816991,27.26407203,5.708736796,0,0
1.7,-34.40178844,-64.99488728,0.2910182101,0.5042683109,0.3684112587,-125.8795172,28.25045469,5.995563467,0,0
1.71,-33.38545345,-64.99486701,0.2986994318,0.501615293,0.3696438934,-133.7659256,29.31352229,6.300463964,0,0
1.72,-32.30393406,-64.99484686,0.3068110744,0.4988391791,0.3709324186,-142.2903641,30.46147754,6.624919782,0,0
1.73,-31.15189439,-64.99482682,0.3153843068,0.4959354985,0.3722811161,-151.5044337,31.70355222,6.970531682,0,0
1.74,-29.92359089,-64.99480688,0.3244521968,0.4929006863,0.3736946406,-161.4610655,33.05014024,7.339022732,0,0
1.75,-28.61287187,-64.99478706,0.3340495914,0.4897323877,0.375178044,-172.2132525,34.51294399,7.732238439,0,0
1.76,-27.21319117,-64.99476734,0.3442128951,0.4864297793,0.3767367953,-183.8121907,36.1051329,8.15214265,0,0
1.77,-25.71764202,-64.99474774,0.3549797159,0.4829938836,0.3783767974,-196.3046424,37.84151146,8.600807395,0,0
1.78,-24.11901878,-64.99472825,0.3663883389,0.4794278441,0.3801043947,-209.7292912,39.7386921,9.080394366,0,0
1.79,-22.40991673,-64.99470886,0.3784769877,0.4757371205,0.3819263724,-224.1118235,41.81526457,9.59312498,0,0
1.8,-20.58288239,-64.99468959,0.3912828257,0.471929565,0.3838499397,-239.4584569,44.09194951,10.14123528,0,0
1.81,-18.63062967,-64.99467042,0.404840653,0.4680153413,0.3858826948,-255.7476601,46.5917175,10.7269111,0,0
1.82,-16.54633936,-64.99465136,0.4191812612,0.4640066693,0.3880325649,-272.91991,49.33984747,11.35219819,0,0
1.83,-14.32406072,-64.99463242,0.4343294224,0.4599173946,0.390307715,-290.8655495,52.36388918,12.01888179,0,0
1.84,-11.95923293,-64.99461358,0.4503015195,0.4557624166,0.3927164183,-309.4111963,55.69348416,12.72833012,0,0
1.85,-9.44933911,-64.99459485,0.4671028644,0.4515570303,0.3952668831,-328.3057406,59.35999003,13.48129827,0,0
1.86,-6.794694586,-64.99457623,0.4847248113,0.4473162552,0.3979670283,-347.207778,63.3958461,14.27769162,0,0
1.87,-3.999352183,-64.99455772,0.5031418368,0.443054228,0.4008242066,-365.6772766,67.83361797,15.11629434,0,0
1.88,-1.072078541,-64.99453932,0.5223088373,0.4387837225,0.4038448736,-383.1752149,72.7046703,15.99447644,0,0
1.89,1.972682141,-64.99452103,0.5421589546,0.4345158351,0.4070342129,-399.0755248,78.03744629,16.90790464,0,1.5
